# Values for Figure 2 in Rupp et al. (202x). Temperature Gradients and Inversions in a Forested Cascade Range Basin: Synoptic- to Local-Scale Controls. J. Geophys. Res. Atmos. x(x). xx-xx. doi:...
# File created 2020-10-16 by David E. Rupp (david.rupp@oregonstate.edu).
# Mean temperature inversion frequency by hour of day and month with 2.5th and 97.5th percentile confidence limits
# RS02 = Reference Stand 2; RS04 = Reference Stand 4 (Daly and McKee 2016)
# PRIMET = Primary meteorological station; VANMET = Vanilla Leaf meteorological station (Daly and McKee 2019)
# LLT = Lower Lookout transect; ULT = Upper Lookout transect (Daly 2017)
# Hour = Hour of day (PST).
# RS04-RS02
# Relative frequency (fraction)
"Hour","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1,0.386,0.229,0.173,0.114,0.091,0.089,0.341,0.353,0.477,0.362,0.258,0.263
2,0.388,0.244,0.179,0.136,0.161,0.147,0.401,0.457,0.513,0.38,0.26,0.263
3,0.386,0.244,0.197,0.161,0.204,0.205,0.473,0.527,0.551,0.404,0.261,0.265
4,0.386,0.244,0.2,0.197,0.253,0.256,0.538,0.578,0.567,0.4,0.27,0.26
5,0.396,0.244,0.2,0.228,0.282,0.327,0.597,0.618,0.587,0.4,0.274,0.267
6,0.406,0.238,0.2,0.225,0.312,0.355,0.624,0.658,0.602,0.404,0.279,0.276
7,0.411,0.253,0.194,0.228,0.306,0.272,0.586,0.655,0.599,0.412,0.29,0.274
8,0.414,0.253,0.209,0.192,0.18,0.135,0.369,0.529,0.569,0.409,0.286,0.279
9,0.429,0.262,0.164,0.081,0.043,0.052,0.151,0.294,0.451,0.382,0.269,0.281
10,0.429,0.238,0.112,0.022,0.003,0.012,0.043,0.096,0.277,0.323,0.26,0.279
11,0.388,0.162,0.054,0.006,0.003,0.006,0.011,0.037,0.121,0.218,0.24,0.251
12,0.321,0.113,0.018,0,0.003,0.003,0,0.011,0.044,0.136,0.198,0.228
13,0.275,0.076,0.018,0,0,0,0,0.003,0.018,0.097,0.176,0.205
14,0.245,0.067,0.012,0,0,0,0,0.003,0.01,0.067,0.143,0.189
15,0.232,0.055,0.012,0,0,0,0,0.003,0.008,0.062,0.138,0.166
16,0.229,0.049,0.012,0,0,0,0,0.003,0.01,0.069,0.145,0.173
17,0.25,0.052,0.015,0,0,0,0,0,0.013,0.107,0.16,0.18
18,0.284,0.074,0.03,0,0,0,0,0,0.041,0.132,0.171,0.196
19,0.307,0.107,0.036,0,0,0.003,0.003,0,0.069,0.176,0.188,0.212
20,0.331,0.138,0.069,0,0,0,0.003,0.005,0.118,0.213,0.21,0.217
21,0.346,0.172,0.082,0.008,0,0.003,0.016,0.032,0.208,0.251,0.229,0.221
22,0.358,0.187,0.109,0.019,0.008,0.006,0.046,0.075,0.277,0.285,0.245,0.233
23,0.358,0.202,0.127,0.064,0.011,0.02,0.121,0.149,0.367,0.318,0.25,0.247
24,0.364,0.213,0.17,0.083,0.048,0.035,0.239,0.254,0.436,0.352,0.251,0.258
# RS04-RS02
