# Values for Figure 3 in Rupp et al. (202x). Temperature Gradients and Inversions in a Forested Cascade Range Basin: Synoptic- to Local-Scale Controls. J. Geophys. Res. Atmos. x(x). xx-xx. doi:...
# File created 2020-10-16 by David E. Rupp (david.rupp@oregonstate.edu).
# Mean monthly temperature inversion frequency with 2.5th and 97.5the percentile confidence limits
# Nighttime = period beginning 4 hours after sunset and ending 4 hours after sunrise on unobstructed horizontal surface
# Daytime = period beginning 4 hours after sunrise and ending 4 hours after sunset on unobstructed horizontal surface
# ERA5 = European Centre for Medium-Range Weather Forecasts (ECMWF) Re-Analysis 5 dataset (Hersbach et al. 2020)
# ERA5_436_1268M = ERA5 from 436 to 1269 m at 123.00 degrees W; 44.25 degrees N
# ERA5_490_1310M = ERA5 from 490 to 1310 m at 123.00 degrees W; 44.25 degrees N
# ERA5_532_807M = ERA5 from 532 to 807 m at 123.00 degrees W; 44.25 degrees N
# ERA5_816_979M = ERA5 from 816 to 979 m at 123.00 degrees W; 44.25 degrees N
# RS02 = Reference Stand 2; RS04 = Reference Stand 4 (Daly and McKee 2016)
# PRIMET = Primary meteorological station; VANMET = Vanilla Leaf meteorological station (Daly and McKee 2019)
# LLT = Lower Lookout transect; ULT = Upper Lookout transect (Daly 2017)
# Relative_freq = Relative inversion frequency (fraction)
# 025CL = 2.5th percentile of confidence limit of relative frequency
# 975CL = 97.5th percentile of confidence limit of relative frequency
# CLEAR_SKY_SOLAR = Monthly mean estimated clear sky insolation (Watts per square meter)
# CLOUDINESS_INDEX = Monthly mean estimated daily cloudiness index (unitless: megajoules per square meter per day divided by megajoules per square meter per day)
# Nighttime inversion frequency
"Site","Statistic","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"ERA5_436_1268M","Relative_freq",0.3,0.157,0.069,0.116,0.229,0.244,0.541,0.484,0.417,0.267,0.232,0.224
"ERA5_436_1268M","025CL",0.289,0.147,0.062,0.107,0.215,0.229,0.525,0.469,0.403,0.256,0.221,0.214
"ERA5_436_1268M","975CL",0.312,0.168,0.077,0.127,0.243,0.258,0.557,0.5,0.432,0.28,0.243,0.234
"ERA5_490_1310M","Relative_freq",0.267,0.134,0.056,0.101,0.215,0.243,0.542,0.486,0.397,0.247,0.206,0.2
"ERA5_490_1310M","025CL",0.256,0.124,0.05,0.092,0.202,0.229,0.526,0.47,0.383,0.236,0.196,0.19
"ERA5_490_1310M","975CL",0.279,0.143,0.063,0.111,0.229,0.257,0.558,0.501,0.412,0.259,0.216,0.21
"ERA5_532_807M","Relative_freq",0.36,0.221,0.138,0.165,0.307,0.31,0.58,0.562,0.475,0.332,0.27,0.282
"ERA5_532_807M","025CL",0.348,0.21,0.129,0.154,0.292,0.295,0.564,0.547,0.461,0.319,0.259,0.271
"ERA5_532_807M","975CL",0.372,0.233,0.148,0.176,0.322,0.326,0.596,0.578,0.49,0.345,0.282,0.293
"ERA5_816_979M","Relative_freq",0.226,0.12,0.053,0.1,0.251,0.309,0.594,0.538,0.39,0.233,0.165,0.173
"ERA5_816_979M","025CL",0.216,0.111,0.047,0.091,0.237,0.294,0.578,0.523,0.376,0.222,0.156,0.164
"ERA5_816_979M","975CL",0.237,0.129,0.06,0.11,0.265,0.325,0.61,0.554,0.405,0.245,0.175,0.183
"RS04_RS02","Relative_freq",0.391,0.234,0.182,0.158,0.204,0.202,0.463,0.489,0.517,0.37,0.264,0.261
"RS04_RS02","025CL",0.378,0.222,0.17,0.147,0.191,0.188,0.446,0.473,0.502,0.357,0.252,0.25
"RS04_RS02","975CL",0.403,0.247,0.195,0.17,0.218,0.217,0.48,0.505,0.531,0.383,0.275,0.272
"VANMET_PRIMET","Relative_freq",0.498,0.335,0.254,0.192,0.253,0.232,0.43,0.472,0.508,0.399,0.31,0.348
"VANMET_PRIMET","025CL",0.486,0.322,0.242,0.18,0.239,0.219,0.414,0.457,0.493,0.385,0.298,0.336
"VANMET_PRIMET","975CL",0.511,0.349,0.267,0.205,0.268,0.247,0.447,0.488,0.523,0.412,0.322,0.36
"LLT","Relative_freq",0.73,0.646,0.581,0.446,0.527,0.571,0.821,0.83,0.731,0.568,0.508,0.586
"LLT","025CL",0.716,0.631,0.564,0.428,0.51,0.555,0.809,0.819,0.716,0.554,0.495,0.573
"LLT","975CL",0.743,0.661,0.598,0.463,0.545,0.587,0.832,0.841,0.744,0.583,0.522,0.6
"ULT","Relative_freq",0.749,0.578,0.598,0.567,0.62,0.635,0.865,0.862,0.769,0.632,0.554,0.546
"ULT","025CL",0.734,0.559,0.579,0.546,0.599,0.615,0.853,0.852,0.757,0.619,0.54,0.532
"ULT","975CL",0.763,0.597,0.618,0.587,0.64,0.654,0.876,0.872,0.781,0.645,0.567,0.56
# Daytime inversion frequency
"Site","Statistic","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"ERA5_436_1268M","Relative_freq",0.135,0.039,0.006,0.01,0.038,0.03,0.067,0.059,0.047,0.065,0.081,0.097
